iter	Logloss
0	0.6055101275
1	0.5404717832
2	0.4860838406
3	0.4405304879
4	0.406596742
5	0.378599881
6	0.3571886933
7	0.339899089
8	0.3246935502
9	0.3126899006
10	0.3034354522
11	0.2945341154
12	0.2878927235
13	0.2824609206
14	0.2783251858
15	0.2749811372
16	0.2717391454
17	0.2695091916
18	0.2671335039
19	0.2649595792
20	0.2632672113
21	0.2617358282
22	0.2603364043
23	0.2594220638
24	0.2584299104
25	0.2575279621
26	0.2566694277
27	0.2560199984
28	0.2554646959
29	0.2549856664
30	0.2544184895
31	0.2539881952
32	0.2535366292
33	0.2531508098
34	0.2527924779
35	0.2525267394
36	0.2522877523
37	0.2520114286
38	0.2518023499
39	0.2516318866
40	0.2514528555
41	0.251312504
42	0.2511438562
43	0.2509392024
44	0.2507654402
45	0.2505752758
46	0.2504197173
47	0.2502619948
48	0.2501309218
49	0.2499530573
50	0.2498252823
51	0.2496706649
52	0.2495534053
53	0.2494366195
54	0.2493169356
55	0.2491649396
56	0.2490922745
57	0.2489871695
58	0.248929985
59	0.2488686356
60	0.2487577751
61	0.2486597471
62	0.2486111543
63	0.2485679556
64	0.2485153962
65	0.2484022892
66	0.2482805108
67	0.2482235496
68	0.2481657341
69	0.2480724368
70	0.2480033959
71	0.2479587144
72	0.247900966
73	0.2478126096
74	0.2477657756
75	0.2477157615
76	0.2476503982
77	0.2476095959
78	0.2475597841
79	0.2474853354
80	0.2473722682
81	0.2473464828
82	0.2472766882
83	0.2472215135
84	0.2471609919
85	0.2471110742
86	0.2470772453
87	0.246998689
88	0.246951913
89	0.2469374878
90	0.2469124905
91	0.246875135
92	0.2468458049
93	0.2468239605
94	0.2467689471
95	0.2467193906
96	0.2467136963
97	0.2466810264
98	0.2466325263
99	0.2466063652
100	0.2465815252
101	0.2465552338
102	0.2464993977
103	0.2464714357
104	0.246443232
105	0.2463927724
106	0.2463620626
107	0.2463306263
108	0.2463063221
109	0.2462983336
110	0.2462783502
111	0.2462713564
112	0.2462531594
113	0.2462441019
114	0.246200649
115	0.2461391702
116	0.2460782579
117	0.2460709259
118	0.2460535688
119	0.2460274272
120	0.2459876816
121	0.2459801625
122	0.2459578165
123	0.2459268961
124	0.2459023413
125	0.2458797186
126	0.245856429
127	0.2458367984
128	0.2458124181
129	0.2457860716
130	0.2457753081
131	0.2457316995
132	0.2457131562
133	0.2456369778
134	0.2455963021
135	0.2455624869
136	0.245538529
137	0.2455200343
138	0.2454851235
139	0.2454629379
140	0.2454298547
141	0.2454049004
142	0.2453868715
143	0.2453655724
144	0.2453145203
145	0.2452868961
146	0.2452704448
147	0.2452420826
148	0.2452151117
149	0.2452069094
150	0.2451760222
151	0.245132737
152	0.245105567
153	0.2450769148
154	0.2450483657
155	0.2450242406
156	0.2449961214
157	0.2449743643
158	0.2449344975
159	0.2449146279
160	0.2448926478
161	0.2448715568
162	0.2448545439
163	0.244844861
164	0.2448082571
165	0.2447841147
166	0.2447511739
167	0.2447273886
168	0.2447019898
169	0.2446788278
170	0.2446610433
171	0.2446426535
172	0.2446085169
173	0.2445925463
174	0.2445657314
175	0.2445052868
176	0.2444821045
177	0.2444602436
178	0.2444432409
179	0.2444274188
180	0.2444101001
181	0.2443880804
182	0.2443308177
183	0.2443065488
184	0.2442834812
185	0.2442652518
186	0.2442435484
187	0.2442160864
188	0.2441685084
189	0.2441343398
190	0.2441016482
191	0.2440895249
192	0.2440691918
193	0.24405533
194	0.2440286754
195	0.2439852158
196	0.2439657163
197	0.2439500368
198	0.2439297335
199	0.2439185383
200	0.2438577142
201	0.2438416001
202	0.2438309364
203	0.2438152495
204	0.2437740274
205	0.2437506722
206	0.243730806
207	0.2437150615
208	0.2436871617
209	0.2436501177
210	0.2436232149
211	0.2435835068
212	0.2435683373
213	0.2435574615
214	0.2435126764
215	0.2435058671
216	0.2434791125
217	0.2434641975
218	0.2434325741
219	0.2434119886
220	0.2433946399
221	0.2433779218
222	0.2433532839
223	0.2433343049
224	0.2433082901
225	0.2432831896
226	0.2432736795
227	0.2432331587
228	0.2432164424
229	0.2431957986
230	0.2431810051
231	0.2431570484
232	0.2431411668
233	0.2431152004
234	0.2430905588
235	0.2430632673
236	0.2430307099
237	0.2430182913
238	0.2429904093
239	0.2429794277
240	0.2429578093
241	0.2429464493
242	0.2429234365
243	0.2428904103
244	0.2428675957
245	0.2428456654
246	0.2428075259
247	0.2427629416
248	0.2427410123
249	0.2427150955
250	0.2426898861
251	0.2426764361
252	0.2426613824
253	0.2426470554
254	0.2426076975
255	0.2425887024
256	0.2425705427
257	0.2425544983
258	0.2425384749
259	0.2425182064
260	0.2424824673
261	0.2424590972
262	0.2424187436
263	0.2423910372
264	0.2423768808
265	0.2423619145
266	0.2423389799
267	0.2423277198
268	0.2423154107
269	0.2422959001
270	0.2422894372
271	0.2422803396
272	0.2422609027
273	0.2422323197
274	0.2422136973
275	0.2421928306
276	0.2421713013
277	0.2421510183
278	0.2421287635
279	0.2421007931
280	0.2420786309
281	0.2420626682
282	0.2420310145
283	0.2420128284
284	0.2419688263
285	0.2419408906
286	0.2419192866
287	0.2419012176
288	0.2418867507
289	0.2418733658
290	0.2418650721
291	0.2418365373
292	0.2418259082
293	0.241812842
294	0.2418032408
295	0.2417774211
296	0.2417642098
297	0.2417401523
298	0.241711674
299	0.2416960775
300	0.2416858479
301	0.2416737414
302	0.2416530119
303	0.2416270603
304	0.241623187
305	0.2415994121
306	0.2415829723
307	0.2415700185
308	0.2415620862
309	0.241544659
310	0.241511467
311	0.2414933247
312	0.2414773349
313	0.2414453245
314	0.2414295632
315	0.2414104607
