iter	Passed	Remaining
0	820	819205
1	1528	762941
2	2343	778687
3	3201	797258
4	3908	777751
5	4676	774658
6	5359	760284
7	5834	723459
8	6601	726910
9	7442	736811
10	8205	737727
11	9018	742528
12	9779	742466
13	10528	741483
14	11332	744142
15	12214	751166
16	12994	751374
17	13784	751998
18	14512	749314
19	15299	749652
20	16050	748254
21	16866	749777
22	17628	748813
23	18377	747353
24	19149	746833
25	19886	744987
26	20629	743426
27	21338	740759
28	22095	739826
29	22834	738306
30	23782	743389
31	24686	746755
32	25484	746786
33	26236	745420
34	27232	750827
35	28242	756271
36	29340	763648
37	30628	775386
38	31978	787987
39	33142	795431
40	33886	792603
41	34697	791440
42	35665	793772
43	36535	793824
44	37924	804832
45	39074	810362
46	40849	828290
47	43148	855785
48	45089	875108
49	48485	921233
50	63074	1173680
51	65774	1199128
52	68018	1215347
53	70185	1229552
54	72096	1238748
55	74268	1251956
56	76457	1264898
57	78307	1271816
58	79924	1274733
59	81944	1283803
60	83749	1289199
61	89380	1352243
62	90856	1351307
63	92488	1352646
64	94306	1356562
65	95974	1358187
66	97624	1359457
67	98828	1354537
68	99738	1345751
69	100676	1337557
70	101966	1334186
71	103369	1332317
72	104975	1333051
73	107079	1339941
74	109404	1349327
75	111034	1349950
76	112933	1353738
77	114218	1350124
78	115985	1352183
79	116943	1344848
80	118058	1339453
81	118910	1331218
82	120900	1335726
83	122430	1335072
84	123732	1331941
85	125107	1329625
86	127092	1333744
87	128192	1328544
88	129050	1320955
89	129961	1314053
90	130826	1306827
91	131639	1299220
92	132448	1291733
93	133244	1284250
94	134133	1277799
95	135020	1271439
96	135607	1262404
97	136428	1255700
98	137254	1249153
99	138104	1242938
100	138899	1236340
101	139793	1230729
102	140816	1226333
103	141631	1220212
104	142674	1216132
105	143878	1213462
106	145047	1210540
107	146067	1206413
108	147086	1202334
109	148017	1197593
110	148843	1192087
111	149802	1187717
112	151172	1186639
113	152280	1183511
114	153386	1180407
115	154780	1179535
116	156127	1178294
117	157095	1174219
118	158024	1169915
119	159009	1166066
120	160123	1163213
121	161177	1159948
122	162215	1156607
123	163136	1152482
124	164129	1148904
125	165102	1145234
126	166276	1142984
127	167358	1140128
128	168381	1136902
129	169426	1133853
130	170509	1131091
131	171777	1129568
132	173422	1130506
133	175283	1132801
134	177104	1134782
135	189007	1200753
136	192737	1214108
137	201760	1260269
138	203018	1257544
139	204266	1254782
140	205424	1251489
141	206741	1249187
142	207970	1246369
143	209483	1245261
144	211002	1244186
145	212859	1245079
146	213821	1240744
147	215787	1242236
148	217370	1241490
149	218383	1237508
150	219583	1234614
151	220806	1231867
152	221792	1227832
153	222864	1224304
154	224007	1221199
155	225116	1217935
156	226277	1214978
157	227169	1210612
158	228155	1206784
159	229814	1206524
160	231130	1204464
161	233909	1209978
162	235185	1207672
163	236206	1204075
164	237234	1200547
165	238135	1196415
166	239014	1192209
167	239945	1188300
168	240851	1184307
169	241839	1180743
170	242752	1176851
171	243758	1173442
172	244926	1170835
173	245885	1167248
174	246746	1163233
175	247951	1160864
176	248848	1157074
177	249794	1153543
178	250637	1149573
179	251528	1145852
180	252433	1142227
181	253398	1138899
182	254583	1136584
183	257836	1143449
184	258748	1139890
185	259517	1135736
186	260371	1131988
187	261293	1128566
188	262382	1125883
189	263391	1122881
190	264500	1120319
191	265706	1118181
192	266698	1115157
193	267717	1112269
194	268667	1109112
195	269642	1106085
196	270557	1102829
197	271537	1099865
198	272381	1096370
199	273128	1092513
200	274046	1089369
201	274905	1086013
202	275736	1082571
203	276498	1078887
204	277417	1075836
205	278331	1072791
206	279154	1069416
207	279973	1066053
208	280809	1062777
209	281788	1060062
210	282737	1057249
211	283682	1054443
212	287413	1061944
213	288214	1058582
214	289141	1055701
215	289930	1052339
216	290852	1049481
217	291658	1046226
218	292601	1043479
219	293450	1040414
220	294257	1037226
221	295223	1034611
222	296191	1032020
223	297073	1029147
224	297951	1026278
225	298844	1023475
226	299623	1020302
227	300562	1017693
228	301377	1014681
229	302211	1011750
230	303057	1008878
231	303931	1006117
232	304726	1003111
233	305648	1000541
234	306456	997614
235	307259	994686
236	308176	992144
237	308985	989273
238	309778	986364
239	310576	983493
240	311403	980727
241	312167	977780
242	312933	974859
243	313967	972784
244	314903	970417
245	315815	967985
246	316656	965354
247	317586	963004
248	318457	960488
249	319290	957870
250	320111	955233
251	320983	952761
252	321779	950076
253	322570	947390
254	323544	945256
255	324479	943017
256	325485	940995
257	326471	938921
258	327335	936508
259	328176	934041
260	329109	931845
261	329950	929402
262	330854	927147
263	331766	924925
264	332721	922831
265	333610	920564
266	334641	918696
267	335464	916267
268	336465	914334
269	337308	911982
270	338103	909510
271	338925	907124
272	339835	904983
273	340825	903061
274	341686	900810
275	342561	898604
276	343364	896218
277	344235	894021
278	345276	892273
279	346287	890454
280	347462	889059
281	348791	888058
282	349672	885918
283	350484	883617
284	351412	881614
285	352313	879552
286	353338	877807
287	354339	876005
288	355169	873791
289	356039	871683
290	357071	869978
291	358209	868536
292	359333	867060
293	360318	865254
294	361320	863495
295	362287	861656
296	363222	859749
297	364162	857858
298	365468	856834
299	366519	855212
300	368794	856437
301	370752	856905
302	373170	858416
